title,date,url,hashtag
[사업가책추천] 사업가들의 바이블이자 꼭 읽어야하는 필독서! - 린 스타트업,2022-06-03,https://www.youtube.com/watch?v=VSYSRIDoHXE,
[책 읽어주는여자] 여행의 이유,2021-12-29,https://www.youtube.com/watch?v=Sml_BcZZ9d8,
"[중년의 자기계발, 50시리즈] 50부터 반드시 바꿔야 할 것들│오디오북 책읽어주는여자 Korea Reading Books",2021-11-02,https://www.youtube.com/watch?v=mvyfOlwrRGI,#중년의자기계발 #책읽어주는여자 #오디오북
나를 180도 변화 시켜준 인생 책 추천 | 책 추천 | 진로 고민 | 하고 싶은 것이 너무 많나요? | 재테크 책 추천,2022-03-09,https://www.youtube.com/watch?v=596quJzGAeQ,
220330 동구 책정원 6호점 개소,2022-03-30,https://www.youtube.com/watch?v=1NdxUaU3pXQ,#동구책정원 #광주동구
[책 소개해주는 나니아 선생님]기후 변화 이야기 지구가 점점 뜨거워진다고?/기후위기/기후행동/지구의 기후변화/시간여행,2021-11-25,https://www.youtube.com/watch?v=U9r6RMoMH5g,
(책 리뷰) 30일 만에 완성하는 1학년 한글 떼기,2022-02-07,https://www.youtube.com/watch?v=h0yQltrXLS4,
[경청하는 눈빛이 감동을 준다] 오디오북 책읽어주는여자 Korea Reading Books,2022-03-19,https://www.youtube.com/watch?v=hH9sIP1vGsQ,#경청 #반응 #책읽어주는여자 #오디오북
[거울 살인] 거울을 통해 두 개의 현실을 오고 가는 한 여자의 삶│책읽어주는여자 오디오북 Korea Reading Books,2021-10-27,https://www.youtube.com/watch?v=6rnaVraeAEw,#천지혜 #거울살인 #금혼령조선혼인금지령 #책읽어주는여자 #오디오북
상상으로 떠나는 책여행 Book Journey by Imagination #shorts,2022-04-07,https://www.youtube.com/shorts/C_DefR7Vibw,#메타버스 #여행스케치 #스케치
[월화 책여행] 호랑이 형님🐯,2021-09-07,https://www.youtube.com/watch?v=aUWwf3mWknU,#부산꿈샘 #월화책여행 #호랑이
최고의 이코노미스트 홍춘욱 박사가 강력 추천하는 인생 책,2021-11-04,https://www.youtube.com/watch?v=ATkifUM8gCY,
'구석구석지구여행'책,2022-03-20,https://www.youtube.com/shorts/bPAWCdPWWes,
돈의감정 #1분오디오북#책읽어주는여자@따뜻한 책한잔 오디오북,2021-11-14,https://www.youtube.com/shorts/9dk02lqHdAo,
[스스로 당당하게 살기위한 5가지 전략] 오디오북 책읽어주는남자 Korea Reading Books,2021-11-21,https://www.youtube.com/watch?v=33XPny7T59I,#당당하게살기 #책읽어주는여자 #오디오북
[누구나 죽음 앞에선 철학자가 된다] 다만 죽음을 곁에 두고 씁니다 책읽어주는여자 오디오북 Korea Reading Books,2021-08-21,https://www.youtube.com/watch?v=2Ki7K4Ldiy4,#시한부 #뇌종양 #책읽어주는여자 #오디오북
■ 오디오북 ■ 블랙쉽 ■ 브랜트 멘스워 | 필름 | 자기계발 | 책읽어주는여자 | 책낭독 | ASMR | 《 애린목소리 》 NO.20,2022-03-30,https://www.youtube.com/watch?v=XZgOVCJj1sc,#오디오북 #책읽어주는여자 #애린목소리
【독서지도】 당신이 읽고 싶은 책이 인생 책입니다. 【독서코칭】 힐링 독서법 능률 독서법 김나영 코치의 힐링독서TV,2021-10-13,https://www.youtube.com/watch?v=eWB-6o0f3tc,#독서지도 #독서코칭 #독서법
"🌸루이비통이 책 추천에서 왜 나와?🌸 내 취향 찾아 주는 잡지 추천 | GQ, 스켑틱, 프리즘오브, 직방, 중경삼림",2022-03-04,https://www.youtube.com/watch?v=NgqTcj-zpdg,
명문대 합격을 위한 에세이 브레인스토밍 tip! 효율적으로 에세이 쓰는법,2021-09-08,https://www.youtube.com/watch?v=1TPYEcXLQ6Q,
#인생명언/#동기부여/#자기계발/#영어공부/#영어문장/#잠자리영어/#두려움극복/#삶의지혜/#용기/#도전/#꿈/#성장/#위로/#힘들때/#영어명언/#인생Moti/#Moti영어,2021-06-28,https://www.youtube.com/watch?v=rWqIbOWE_fk,
"응, 자기계발서? 개나 줘 버려!",2022-05-01,https://www.youtube.com/watch?v=DfG9Q_GLOMk,#제갈건 #자기계발서
중고생방학필독서[2편-O형의인간],2021-07-23,https://www.youtube.com/watch?v=7oeRKIX2AvE,#신여성의이혼스토리 #꿀잠보장 #정말싫다
인생책 4. 아침습관을 바꾸고 싶은 사람들에게 추천하는 책,2021-10-17,https://www.youtube.com/watch?v=YFOAdZe_Yak,#아침습관 #인생책 #책추천
미니멀리스트들 위한 고전중의 고전필독서! 소로우의 월든이 양장본으로 새롭게 나왔습니다! [시인의서재],2021-07-06,https://www.youtube.com/watch?v=eoc2hdMHsTg,#월든 #소로우 #시인의서재 #미니멀라이프
"(책 리뷰)초등 학부모님께 강력 추천!👍초등 아이, 어떻게 잡아줘야 할까?(조현아 지음)",2022-01-04,https://www.youtube.com/watch?v=9KWUu6Hy6IE,
내 인생을 바꿔준 책은,2022-03-05,https://www.youtube.com/watch?v=swLDLZ36l5Y,
게이밍의자 추천! 가성비 게이밍의자 1위! 제닉스에서 새롭게 업그레이드 된 ARENA-X ZERO AIR CHAIR! 뽀송뽀송하게 즐겨보세요!,2022-05-07,https://www.youtube.com/watch?v=UarNbVlxlaY,#아레나엑스제로에어 #게이밍의자추천 #추천게이밍의자 #가성비게이밍의자 #강원도유튜버
자기계발서 책추천 7가지ㅣ동기부여 성공책 사업책,2022-03-31,https://www.youtube.com/watch?v=4IXCqSC9HbE,
[지리산하늘빛TV] (책읽기여행) (책제목: 뇌를 알고 행복해졌다) (양은우지음) (행복) (건강) (희망),2021-11-26,https://www.youtube.com/watch?v=3yOw-7YM2Bo,#건강 #행복 #희망
한 여인의 금기된 사랑/ 로렌스 최고의 화제작 /ASMR (19세 미만 청취 금지),2021-12-08,https://www.youtube.com/watch?v=o-tMHv85U4M,
"이번주 소개하는 인생책들은 '이럴 거면 혼자 살라고 말하는 당신에게', '엉망인 채 완전한 축제', '당신이 살았던 날들'(주책공사 이성갑이 닥책들을 소개합니다)",2022-02-21,https://www.youtube.com/watch?v=eTGaPYOkwto,#주책공사 #독립서점
[여성복은 아직 만들어지지 않았다] 책 리뷰+출간 후기,2021-10-28,https://www.youtube.com/watch?v=Isr8ABQnsrY,
"[marie] | 책리뷰 | 《욕구들》 캐럴라인 냅, 공허함과 불안에 시달리고 있는 여자들을 위한 에세이",2021-07-19,https://www.youtube.com/watch?v=XoDPOLJ6m9U,
"강추!베스트셀러 에세이 ""너라는 선물""",2021-12-30,https://www.youtube.com/watch?v=9ZBD7vr2kj8,#오디오북 #너라는선물 #베스트셀러 #에세이 #책읽어주는여자 #책읽어주는그녀라라 #책추천 #책읽어주는 #에세이추천 #베스트셀러추천 #전대진
"동기들과 함께하는 NCS 공부 방향! 책 추천, 각자 공부방법, 시간 분배 등",2021-09-06,https://www.youtube.com/watch?v=xfXRyfDwqK8,
