제목,업로드일,주소
🎄80kg 통통녀 연말 데이트룩🎄ㅣ빅사이즈ㅣ통통녀ㅣ데일리룩ㅣ겨울코디ㅣ연말룩ㅣ크리스마스ㅣ하객룩ㅣ데이트룩ㅣ통통코디ㅣ뚱뚱코디ㅣ통통녀코디ㅣ체형커버룩ㅣwinter Look book,2021-12-14.,https://www.youtube.com/watch?v=bDVSI6ubIAk
173cm 80kg 통통녀의 겨울 코디 룩북❄️💜ㅣ빅사이즈ㅣ통통녀ㅣ데일리룩ㅣ겨울코디ㅣ룩북ㅣ연말룩ㅣ파티룩ㅣ하객룩ㅣ데이트룩ㅣ출근룩ㅣwinter Look book,2021-11-30.,https://www.youtube.com/watch?v=tdNtOJKZ08A
데일리앤 루이즈 여름 플라워 캉캉 뷔스티에 롱 원피스 빅사이즈,2021-6-7.,https://www.youtube.com/shorts/8GaQwBL-ZwY
뱃살 가려주고 여신만들어주는 여름 뷔스티에원피스 - summer maxi dress,2021-9-16.,https://www.youtube.com/shorts/iG1k_mmjl4k
예술적인 색감의 니트 뷔스티에 원피스,2022-3-8.,https://www.youtube.com/watch?v=44oszYboOtk
날씬해보이는 여신핏 뷔스티에 플리츠 원피스 코디 #short #여행코디 #파스텔 #플라워 #뷔스티에 #원피스,2021-8-29.,https://www.youtube.com/shorts/7_WMohZLKlo
마이시즌 myseason 플레핀턱뷔스티에원피스,2021-12-24.,https://www.youtube.com/shorts/ql8UAdALnTo
플라워 뷔스티에 원피스 꽃무늬 쉬폰 롱 A라인 블루,2022-3-29.,https://www.youtube.com/shorts/eVMOZpl469w
💚 뷔스티에 롱원피스 💚,2021-6-23.,https://www.youtube.com/shorts/7167h6FAqjQ
사랑스러운 봄 블라우스&원피스코디♥리본블라우스/뷔스티에원피스/오피스룩/데이트룩/하객룩,2022-1-20.,https://www.youtube.com/shorts/hlNx7ZYSTJo
WAWAMOM(특허브랜드) 여성 여름 뷔스티에 원피스 멜빵원피스 CJV18,2021-7-7.,https://www.youtube.com/shorts/jivYo0XHOmc
"[2-60]slip  onepiece(끈다리 원피스,속치마)패턴그리기",2021-6-8.,https://www.youtube.com/watch?v=E-30JkW_Ypg
데일리앤 자체제작 퓨어리 잔꽃 여름 루즈핏 뷔스티에 플레어 롱원피스,2021-7-1.,https://www.youtube.com/shorts/S--aZabbrZ4
"행복여/매드 포켓 단추 청 멜빵 뷔스티에 원피스/23,900원/멜빵원피스코디/빅사이즈원피스",2022-4-22.,https://www.youtube.com/shorts/ZdRoAFRMVsc
"""분위기를 입는다"" 로미오 블라썸, 코바늘 뷔스티에",2022-4-21.,https://www.youtube.com/watch?v=vqHEfDeCuNU
여름 필수 페이즐리 뷔스티에 원피스 - summer paisley short dress,2021-9-21.,https://www.youtube.com/shorts/OW8NlAvcxlc
"행복여 | 뷔스티에 라인 퍼프 셔링 플레어 원피스 | 27,400원 | 라이브방송 | 봄신상 | 데일리 원피스 코디",2022-3-23.,https://www.youtube.com/shorts/KdJD4kozMeo
DIY Recycling Pants|바지리폼|Dress|끈원피스|뷔스티에|Reform Old Your Clothes|안입는옷|치마|옷 만들기|면바지|Skirt|Refashion,2021-9-25.,https://www.youtube.com/watch?v=P-EqP7lGEfY
린넨셔링원피스 / 시원한소재 / 뷔스티에,2021-7-28.,https://www.youtube.com/watch?v=qlB42rCp1Ls
아이스크루_썸 뷔스티에 플리츠 원피스,2022-3-11.,https://www.youtube.com/shorts/JCjKPethhkE
광고 뷔스티에원피스 나만 알기 아까운! 꿀템 소개해요 추천 TOP10,2022-5-9.,https://www.youtube.com/watch?v=F4d3IiGy7Gw
광고 뷔스티에원피스 상품평이 좋은! 소개해요 추천 TOP10,2022-5-19.,https://www.youtube.com/watch?v=gY-YZWfNsoI
🎄80kg 통통녀 연말 데이트룩🎄ㅣ빅사이즈ㅣ통통녀ㅣ데일리룩ㅣ겨울코디ㅣ연말룩ㅣ크리스마스ㅣ하객룩ㅣ데이트룩ㅣ통통코디ㅣ뚱뚱코디ㅣ통통녀코디ㅣ체형커버룩ㅣwinter Look book,2021-12-14.,https://www.youtube.com/watch?v=bDVSI6ubIAk
[162cm/54kg] 태풍12호 오마이스 LOOKBOOK / 편의점 우산 / 뷔스티에 원피스 / 크록스,2021-8-25.,https://www.youtube.com/shorts/uTOtPQbgX2Y
행복여/델리아 가슴 레이스 플라워 뷔스티에 원피스,2022-5-1.,https://www.youtube.com/shorts/Li7nfUgwL0s
자체제작 키큰언니 체형커버 도트 플라워 뷔스티에 롱 맥시 원피스(3컬러),2021-6-3.,https://www.youtube.com/shorts/MXx-ZqO9QMk
