,title,date,url,hashtag
1565,방탄이 만든 잠옷 & 붕경(풍경) & 노트커버세트 언박싱ㅣARTIST MADE COLLECTION BY BTS (JIN & RM & SUGA) UNBOXINGㅣグッズ開封,2022-01-20,https://www.youtube.com/watch?v=GlVy8WSEnpE,
11697,Q1020503 아기 봄가을 골덴 멜빵바지 베비 포켓 오버롤 팬츠 키즈 아동복,2021-10-18,https://www.youtube.com/shorts/nBMV4aI0cYY,
14024,🦋예쁘고 편한 운동복🦋 하울 ..? 리뷰.. ?? (요가복 / 필라테스복 /점프수트 추천),2021-08-23,https://www.youtube.com/watch?v=k8B9QMS6dUo,#내돈내산 #운동복리뷰 #편한운동복
10249,통통녀의 꾸안꾸 코디룩북🐻 66사이즈ㅣ가을코디ㅣoutfitㅣLook-bookㅣ쇼핑몰ㅣ 하의실종룩,2021-10-18,https://www.youtube.com/watch?v=Xm68WVsBTI8,#룩북 #통통녀
13632,"Haul🫧161cm 여름 패션하울💙 여름 원피스, 여름 셔츠, 모자 추천, 낫띵리튼 에코백, 마리떼 반팔, 시눈, 코스, 메이비베이비, 그로브스토어 | MINDELI민델리",2022-05-28,https://www.youtube.com/watch?v=qSQmW8JxpK4,
8228,"🌞VLOG I 직장인 출근 데일리룩ㅣ타낫 니트, 렉토 맨투맨 언박싱ㅣ강남 후추포인트, 노티드 스마일 케이크ㅣ자취생 일상 브이로그",2021-11-14,https://www.youtube.com/watch?v=j4CLiZRxcgg,
3058,#모노데일리 #데일리룩 #겨울니트 #슬랙스코디,2021-11-12,https://www.youtube.com/shorts/1xs6_vvBhSY,
16395,여자 테니스선수는 공을 왜 거기에 넣을까?,2021-07-08,https://www.youtube.com/watch?v=n5vrUAwHirQ,
3295,오징어게임에 참여한 오징어의 가을 코디 3가지,2021-10-16,https://www.youtube.com/shorts/XG0X9mxKlvI,
4734,원피스 추천 판매순위 Top10 || 가격 평점 후기 비교,2022-04-14,https://www.youtube.com/watch?v=nXZAYzAU1uM,#오즈키즈 #아이엠수 #제니트가을 #빼빼 #대박난박양 #페이퍼먼츠 #떳다그녀 #행복한여자 #타니즈 #오키 #원피스추천 #원피스가격 #원피스후기 #가성비원피스 #원피스순위
15545,청치마에다가 흰티는 진리 #shorts #쇼츠,2022-03-18,https://www.youtube.com/shorts/Yw8siM5Yz5E,
