,product_name,price,review,likes,views,total_sales,type
52,밴딩 와이드 슬랙스 P-035_BG,"39,000원 28,000원","5,746","7,156",5.8천 회 이상,4.3천 개 이상,슈트팬츠/슬랙스
53,투턱 와이드 슬랙스 [블랙],"59,000원 35,500원","1,432","7,382",1.6만 회 이상,4.6천 개 이상,슈트팬츠/슬랙스
54,와이드 히든 밴딩 크롭 슬랙스 [블랙],"32,900원","3,821","6,287",7.3천 회 이상,3.5천 개 이상,슈트팬츠/슬랙스
55,테이퍼드 히든 밴딩 10부 슬랙스 [블랙],"32,900원","7,338","11,272",1.1만 회 이상,8.6천 개 이상,슈트팬츠/슬랙스
56,모더니티 히든 밴딩 슬랙스 [DUSTY CREAM],"69,000원 62,100원","1,734","7,363",1.2만 회 이상,4.7천 개 이상,슈트팬츠/슬랙스
57,라이트웨이트 테이퍼드 히든 밴딩 크롭 슬랙스 [베이지],"32,900원",827,"2,278",1.4만 회 이상,2.8천 개 이상,슈트팬츠/슬랙스
58,5/18 배송 원턱 와이드 슬랙스[블랙],"59,000원 41,000원",707,"6,682",1.7만 회 이상,2.9천 개 이상,슈트팬츠/슬랙스
59,라이트웨이트 테이퍼드 히든 밴딩 크롭 슬랙스 [크림],"32,900원","1,470","3,000",8.4천 회 이상,2.2천 개 이상,슈트팬츠/슬랙스
60,세미 와이드 히든 밴딩 슬랙스 [그레이],"32,900원","3,037","4,878",9.7천 회 이상,4.7천 개 이상,슈트팬츠/슬랙스
61,테이퍼드 밴딩 기모 10부 슬랙스 [블랙],"33,900원","7,665","8,909",1천 회 이상,400개 이상,슈트팬츠/슬랙스
62,와이드 린넨 밴딩 팬츠 크림,"49,000원 39,400원","2,234","8,688",2.5만 회 이상,5.3천 개 이상,슈트팬츠/슬랙스
63,5/18 배송 투턱 와이드 슬랙스 [아이보리],"59,000원 29,900원","1,735","7,608",1.5만 회 이상,4.2천 개 이상,슈트팬츠/슬랙스
64,세미 부츠컷 슬랙스 [그레이],"49,000원 39,900원","2,371","9,539",1만 회 이상,5.6천 개 이상,슈트팬츠/슬랙스
65,리얼 와이드 벨티드 슬랙스 [미디엄 그레이],"36,900원",444,"2,922",1.9만 회 이상,1.8천 개 이상,슈트팬츠/슬랙스
66,라이트웨이트 리얼 와이드 히든 밴딩 슬랙스 [블랙],"32,900원","3,015","6,432",1.1만 회 이상,4.2천 개 이상,슈트팬츠/슬랙스
67,모더니티 히든 밴딩 슬랙스 [BLACK],"69,000원 62,100원","2,088","6,446",6.6천 회 이상,4.5천 개 이상,슈트팬츠/슬랙스
68,테이퍼드 히든 밴딩 크롭 슬랙스 [차콜 그레이],"32,900원","4,746","4,676",7.7천 회 이상,6.2천 개 이상,슈트팬츠/슬랙스
69,와이드핏 슬랙스 [그레이],"59,000원 39,900원","5,129","9,324",5천 회 이상,3.1천 개 이상,슈트팬츠/슬랙스
70,리얼 와이드 히든 밴딩 슬랙스 [더스티 베이지],"32,900원","3,167","4,432",6.9천 회 이상,3.4천 개 이상,슈트팬츠/슬랙스
71,테이퍼드 히든 밴딩 크롭 슬랙스 [네이비],"32,900원","3,901","4,004",8.2천 회 이상,5.2천 개 이상,슈트팬츠/슬랙스
72,옆 트임 세미 와이드 슬랙스 블랙,"51,000원 34,100원","5,215","6,538",2.6천 회 이상,1.3천 개 이상,슈트팬츠/슬랙스
