,product_name,price,review,likes,views,total_sales,type
69,Ver.2 클래식밴딩반바지 연베이지 KHSP0427,"22,900원","2,703","1,699",1.2천 회 이상,400개 이상,숏팬츠
70,남성) 코튼 치노 쇼츠_MSB2PH1001,"29,900원 9,900원",57,287,3.9천 회 이상,400개 이상,숏팬츠
71,(22SS) 2 TONE ARCH SWEAT SHORTS GRAY,"59,000원 47,200원",629,"5,684",1만 회 이상,2.7천 개 이상,숏팬츠
72,스웨트 쇼츠 [크림],"19,900원",261,718,5.5천 회 이상,800개 이상,숏팬츠
73,플랫 테리 스웨트 쇼츠 [블랙],"26,900원",52,411,7.6천 회 이상,500개 이상,숏팬츠
74,남성용 스우시 반바지 우븐 쇼츠 팬츠 AR2382-010,"54,600원","1,308","9,748",1.2만 회 이상,5천 개 이상,숏팬츠
75,치노 쇼츠 [베이지],"24,900원",916,942,5.5천 회 이상,900개 이상,숏팬츠
76,TWO PINTUCK BERMUDA PANTS_BLACK,"69,000원 48,300원",117,"2,348",9.7천 회 이상,400개 이상,숏팬츠
77,5/24 배송 데님 하프 팬츠 인디고,"99,000원 84,150원",75,"1,645",1.9만 회 이상,500개 이상,숏팬츠
78,우먼즈 스웨트 쇼츠 [미디엄 그레이],"19,900원",44,612,7.4천 회 이상,200개 이상,숏팬츠
79,미니멀 트레이닝 essential 반바지 (블랙),"31,800원 17,900원",311,792,2.8천 회 이상,1.2천 개 이상,숏팬츠
80,M SL 첼시아 - 블랙 / GK9602,"39,000원 23,900원",39,460,5.5천 회 이상,300개 이상,숏팬츠
81,나일론 메탈 카고 쇼츠_라이트그레이,"44,000원 35,900원","2,151","6,281",5.8천 회 이상,3.6천 개 이상,숏팬츠
82,유틸리티 쇼츠 [다크 그레이],"23,900원","1,975","1,485",3.5천 회 이상,1.6천 개 이상,숏팬츠
83,트래블러 쇼츠 옐로우,"55,000원 19,900원","1,818","2,322",3.3천 회 이상,900개 이상,숏팬츠
84,드라이핏 스우시 심플 5부 밴딩 반바지,"31,500원 23,500원",40,"2,417",1.5만 회 이상,400개 이상,숏팬츠
85,머스트해브 3스트라이프 숏 팬츠 - 블랙 / FM5315,"49,000원 24,900원","1,013","2,690",3.8천 회 이상,2천 개 이상,숏팬츠
86,판다와 나일론 팬츠 PANDAWA NYLON PANTS,"49,900원",31,434,4.9천 회 이상,200개 이상,숏팬츠
87,5/17 배송 와이드 쇼트 팬츠[블랙],"41,000원 19,900원",536,"1,950",6.6천 회 이상,700개 이상,숏팬츠
88,BT21 HEXA MESH PANTS (BLACK),"29,000원 24,900원","3,064","2,998",1천 회 이상,300개 이상,숏팬츠
